规格,价格,店铺名称
【DDR4 3200】黑爵 Intel专用+16GB 1条,￥145.00,金百达京东自营旗舰店
【DDR4 3600】黑爵 Intel专用+32GB 2条套条 【16G*2】,￥299.00,金百达京东自营旗舰店
【DDR4 2666】银爵 电竞款+8GB 1条,￥83.00,金百达京东自营旗舰店
【DDR4 3200】普条 常规办公款+16GB 1条,￥599.00,金百达京东自营旗舰店
【DDR4 2666】黑爵 Intel专用+8GB 1条,组合价￥暂无报价,金百达京东自营旗舰店
【DDR4 3200】黑爵 Intel专用+16GB 1条,￥145.00,金百达京东自营旗舰店
【DDR4 3600】黑爵 Intel专用+32GB 2条套条 【16G*2】,￥299.00,金百达京东自营旗舰店
【DDR4 2666】银爵 电竞款+8GB 1条,￥83.00,金百达京东自营旗舰店
「D4 3200频」电竞马甲条+64GB 2条套条 （32GB*2）,￥799.00,英睿达京东自营旗舰店
「D4 3200频」电竞马甲条+16GB 1条,￥219.00,英睿达京东自营旗舰店
「D4 3200频」电竞马甲条+32GB 1条,￥399.00,英睿达京东自营旗舰店
「D4 3200频」台式机内存+8GB 1条,￥109.00,英睿达京东自营旗舰店
「D4 3200频」台式机内存+32GB 1条,￥389.00,英睿达京东自营旗舰店
【DDR4 3200】普条 常规办公款+16GB 1条,￥599.00,金百达京东自营旗舰店
【DDR4 2666】黑爵 Intel专用+8GB 1条,组合价￥暂无报价,金百达京东自营旗舰店
【DDR4 3200】黑爵 Intel专用+16GB 1条,￥145.00,金百达京东自营旗舰店
【DDR4 3600】黑爵 Intel专用+32GB 2条套条 【16G*2】,￥299.00,金百达京东自营旗舰店
【DDR4 2666】银爵 电竞款+8GB 1条,￥83.00,金百达京东自营旗舰店
【DDR4 3200】普条 常规办公款+16GB 1条,￥599.00,金百达京东自营旗舰店
【DDR4 2666】黑爵 Intel专用+8GB 1条,组合价￥暂无报价,金百达京东自营旗舰店
【DDR4 3200】黑爵 Intel专用+16GB 1条,￥145.00,金百达京东自营旗舰店
【DDR4 3600】黑爵 Intel专用+32GB 2条套条 【16G*2】,￥299.00,金百达京东自营旗舰店
【DDR4 2666】银爵 电竞款+8GB 1条,￥83.00,金百达京东自营旗舰店
「D4 3200频」电竞马甲条+32GB 2条套条 （16GB*2）,￥299.00,英睿达京东自营旗舰店
「D4 3200频」电竞马甲条+16GB 1条,￥219.00,英睿达京东自营旗舰店
「D4 3200频」电竞马甲条+32GB 1条,￥399.00,英睿达京东自营旗舰店
「D4 3200频」台式机内存+8GB 1条,￥109.00,英睿达京东自营旗舰店
「D4 3200频」台式机内存+32GB 1条,￥389.00,英睿达京东自营旗舰店
6000MHz-CL28-星河银 海力士A-die+48GB 2条 (24GB×2),￥769.00,科摩思旗舰店
6000MHz-CL30-天境白 海力士M-die+32GB 2条 (16GB×2),￥669.00,科摩思旗舰店
7200MHz-CL36-天境白 海力士M-die+48GB 2条 (24GB×2),￥879.00,科摩思旗舰店
8000MHz-CL40-天境白 海力士M-die+48GB 2条 (24GB×2),￥959.00,科摩思旗舰店
「D5 6000频」Pro超频马甲/黑色+16GB 1条,￥319.00,英睿达京东自营旗舰店
「D5 6000频」Pro超频马甲/黑色+32GB 2条套条 （16GB*2）,￥549.00,英睿达京东自营旗舰店
「D5 6000频」Pro超频马甲/黑色+48GB 2条套条 （24GB*2）,组合价￥暂无报价,英睿达京东自营旗舰店
「D5 6000频」Pro超频马甲/白色+32GB 2条套条 （16GB*2）,￥629.00,英睿达京东自营旗舰店
「D5 5600频」经典款/美光颗粒+16GB 1条,￥279.00,英睿达京东自营旗舰店
「D5 5600频」经典款/美光颗粒+32GB 2条套条 （16GB*2）,￥579.00,英睿达京东自营旗舰店
「D5 5600频」经典款/美光颗粒+64GB 2条套条 （32GB*2）,￥1199.00,英睿达京东自营旗舰店
「D5 4800频」经典款/美光颗粒+16GB 2条套条 （8GB*2）,￥279.00,英睿达京东自营旗舰店
「D5 6000频」Pro超频马甲/黑色+16GB 1条,￥319.00,英睿达京东自营旗舰店
「D5 6000频」Pro超频马甲/黑色+32GB 2条套条 （16GB*2）,￥549.00,英睿达京东自营旗舰店
「D5 6000频」Pro超频马甲/黑色+48GB 2条套条 （24GB*2）,组合价￥暂无报价,英睿达京东自营旗舰店
「D5 6000频」Pro超频马甲/白色+32GB 2条套条 （16GB*2）,￥629.00,英睿达京东自营旗舰店
「D5 5600频」经典款/美光颗粒+16GB 1条,￥279.00,英睿达京东自营旗舰店
「D5 5600频」经典款/美光颗粒+32GB 2条套条 （16GB*2）,￥579.00,英睿达京东自营旗舰店
「D5 5600频」经典款/美光颗粒+64GB 2条套条 （32GB*2）,￥1199.00,英睿达京东自营旗舰店
「D5 4800频」经典款/美光颗粒+16GB 2条套条 （8GB*2）,￥279.00,英睿达京东自营旗舰店
T3660 i5-12500 3.0GHz丨6核+16G丨256G+1T 丨T400-4G,￥7380.00,博商服务器工作站专营店
T3660 i5-12500 3.0GHz丨6核+16G丨256G+2T丨RTXA2000-6G,￥9980.00,博商服务器工作站专营店
T3660 i5-12500 3.0GHz丨6核+32G丨256G+2T丨RTX3060-12G,￥10680.00,博商服务器工作站专营店
T3660 i5-12500 3.0GHz丨6核+32G丨256G+4T丨RTXA4000-16G,￥16880.00,博商服务器工作站专营店
T3660 i5-12500 3.0GHz丨6核+64G丨512G+4T丨RTX4080-16G,￥22680.00,博商服务器工作站专营店
T3660 i5-12500 3.0GHz丨6核+64G丨512G+8T丨RTX4090-24G,￥33880.00,博商服务器工作站专营店
